Designation (and name),Prov. Des.,q,Q,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,"Discovery date, site and discoverer(s)"
,2015 AK281,33.539,52.679,6.7,20170216,8.3,77.9,66.0,16.9,0.222,43.109,3,MPO 384355,2015/01/15 F51 Pan-STARRS 1
,2015 AJ281,37.925,49.143,5.0,20170216,283.7,4.7,256.1,26.8,0.129,43.534,2,MPO 384355,2015/01/06 F51 Pan-STARRS 1
,2015 AH281,34.834,51.844,5.1,20141229,0.0,358.5,286.5,8.0,0.196,43.339,( 7d),MPO 386892,2015/01/13 F51 Pan-STARRS 1
,2014 YJ50,31.738,47.343,6.6,20170216,46.0,48.7,12.5,7.3,0.197,39.541,5,MPO 384350,2014/12/29 F51 Pan-STARRS 1
,2014 YG50,31.735,47.034,6.9,20170216,38.2,108.9,303.8,19.1,0.194,39.385,2,MPO 384350,2014/12/26 F51 Pan-STARRS 1
,2014 YC50,37.264,51.370,6.1,20141229,335.1,77.0,84.6,18.4,0.159,44.317,( 29d),MPO 386890,2014/12/29 F51 Pan-STARRS 1
,2014 YB50,37.645,45.746,5.8,20170216,343.6,36.1,104.0,28.6,0.097,41.695,2,MPEC 2016-Y92,2014/12/26 F51 Pan-STARRS 1
,2014 YA50,38.616,54.913,4.3,20170216,310.2,192.8,45.5,23.8,0.174,46.765,7,MPO 384350,2014/12/25 F51 Pan-STARRS 1
,2014 YZ49,39.510,41.428,5.1,20170216,359.3,49.2,130.9,17.2,0.024,40.469,6,MPO 384349,2014/12/29 F51 Pan-STARRS 1
,2014 XZ40,37.236,40.896,7.5,20141209,316.7,335.8,146.5,44.6,0.047,39.066,( 26d),MPO 392453,2014/12/01 W84 DECam
,2014 XY40,39.787,54.291,5.2,20170216,210.3,36.9,132.8,29.1,0.154,47.039,2,MPO 389129,2014/12/15 W84 DECam
,2014 XU40,32.419,46.315,6.8,20170216,320.9,229.4,258.4,4.8,0.176,39.367,3,MPO 384347,2014/12/13 F51 Pan-STARRS 1
,2014 XT40,31.873,46.621,6.9,20170216,11.3,173.9,223.9,7.3,0.188,39.247,4,MPO 384347,2014/12/10 F51 Pan-STARRS 1
,2014 XS40,35.424,49.739,5.1,20170216,29.5,263.0,186.7,27.5,0.168,42.581,3,MPO 384347,2014/12/07 F51 Pan-STARRS 1
,2014 XR40,37.043,49.312,5.0,20170216,267.1,279.0,3.2,24.8,0.142,43.178,5,MPO 384346,2014/12/02 F51 Pan-STARRS 1
,2014 WR510,28.903,49.734,7.3,20170216,11.4,220.0,212.4,11.1,0.265,39.318,2,MPO 384345,2014/11/28 F51 Pan-STARRS 1
,2014 WQ510,33.526,45.728,5.3,20170216,147.5,17.1,334.5,22.8,0.154,39.627,4,MPO 384345,2014/11/27 F51 Pan-STARRS 1
,2014 WP510,32.451,46.240,7.0,20170216,38.7,299.4,74.0,8.2,0.175,39.345,4,MPO 384345,2014/11/27 F51 Pan-STARRS 1
,2014 WO510,32.126,46.404,6.9,20170216,341.3,28.4,69.7,6.7,0.182,39.265,4,MPO 384345,2014/11/27 F51 Pan-STARRS 1
,2014 WK510,34.583,64.689,6.8,20170216,11.3,295.8,127.0,10.7,0.303,49.636,3,MPO 384344,2014/11/26 F51 Pan-STARRS 1
,2014 WG510,30.744,47.456,6.3,20170216,63.3,176.6,167.6,17.5,0.214,39.100,3,MPO 384344,2014/11/23 F51 Pan-STARRS 1
,2014 WF510,30.611,47.959,6.7,20170216,16.5,197.3,197.2,26.1,0.221,39.285,3,MPO 384343,2014/11/22 F51 Pan-STARRS 1
,2014 WE510,27.084,51.781,7.6,20141209,1.0,321.4,99.0,27.2,0.313,39.432,( 59d),MPO 386890,2014/11/21 F51 Pan-STARRS 1
,2014 WC510,29.506,49.446,6.9,20170216,338.3,289.3,194.6,19.6,0.253,39.476,3,MPO 384343,2014/11/20 F51 Pan-STARRS 1
,2014 WB510,30.365,48.551,7.4,20141209,18.5,319.4,82.4,12.6,0.230,39.458,( 68d),MPO 386890,2014/11/17 F51 Pan-STARRS 1
,2014 WA510,45.154,45.980,5.7,20170216,0.9,57.1,104.5,2.2,0.009,45.567,2,MPO 384343,2014/11/29 F51 Pan-STARRS 1
,2014 WZ509,36.750,44.038,5.2,20170216,190.9,60.0,251.3,15.9,0.090,40.394,4,MPO 384343,2014/11/28 F51 Pan-STARRS 1
,2014 WY509,36.544,52.020,5.6,20170216,281.5,314.0,298.9,11.5,0.175,44.282,5,MPO 384343,2014/11/27 F51 Pan-STARRS 1
,2014 WX509,36.521,49.309,5.9,20170216,13.2,155.6,333.7,12.0,0.149,42.915,4,MPO 384342,2014/11/26 F51 Pan-STARRS 1
,2014 WW509,36.925,48.183,5.2,20170216,152.7,170.5,110.4,20.4,0.132,42.554,3,MPO 384342,2014/11/26 F51 Pan-STARRS 1
,2014 WV509,38.495,54.504,6.4,20170216,12.7,198.0,205.7,25.4,0.172,46.500,3,MPO 384342,2014/11/22 F51 Pan-STARRS 1
,2014 WU509,38.398,44.586,5.7,20170216,285.2,333.9,193.3,19.6,0.075,41.492,5,MPO 384342,2014/11/20 F51 Pan-STARRS 1
,2014 WT509,35.495,59.131,6.8,20170216,8.7,226.4,182.5,12.3,0.250,47.313,3,MPO 384342,2014/11/20 F51 Pan-STARRS 1
,2014 WS509,42.610,45.735,5.9,20170216,329.6,16.6,83.9,2.7,0.035,44.173,5,MPO 384342,2014/11/19 F51 Pan-STARRS 1
,2014 WR509,25.717,52.693,7.0,20170216,321.2,66.3,51.8,26.5,0.344,39.205,3,MPO 384341,2014/11/17 F51 Pan-STARRS 1
,2014 WQ509,33.745,44.962,5.5,20170216,225.3,207.9,40.8,9.8,0.143,39.353,3,MPO 384341,2014/11/17 F51 Pan-STARRS 1
,2014 WP509,41.023,48.846,4.5,20170216,47.4,337.7,66.8,8.4,0.087,44.934,5,MPO 384341,2014/11/17 F51 Pan-STARRS 1
,2014 WO509,39.930,48.663,6.0,20170216,359.9,52.9,109.0,3.8,0.099,44.297,6,MPO 384341,2014/11/29 F51 Pan-STARRS 1
,2014 WN509,40.124,44.914,5.9,20170216,298.8,307.4,276.8,7.1,0.056,42.519,4,MPO 384341,2014/11/27 F51 Pan-STARRS 1
,2014 WM509,37.230,47.373,6.5,20141209,358.0,316.2,89.2,24.1,0.120,42.302,( 58d),MPO 386890,2014/11/24 F51 Pan-STARRS 1
,2014 WL509,35.762,47.641,5.9,20170216,281.8,45.8,184.4,15.1,0.142,41.701,(119d),MPO 384341,2014/11/23 F51 Pan-STARRS 1
,2014 WJ509,36.856,49.413,5.4,20170216,307.7,94.0,100.3,20.9,0.146,43.135,3,MPO 384340,2014/11/21 F51 Pan-STARRS 1
,2014 WH509,36.404,52.013,4.9,20170216,65.3,322.5,76.5,18.2,0.177,44.209,6,MPO 384340,2014/11/21 F51 Pan-STARRS 1
,2014 WG509,38.966,45.882,5.5,20170216,108.3,177.7,129.8,21.4,0.082,42.424,3,MPO 384340,2014/11/21 F51 Pan-STARRS 1
,2014 WF509,41.021,49.064,5.7,20170216,53.3,182.3,177.4,7.1,0.089,45.043,5,MPO 384340,2014/11/20 F51 Pan-STARRS 1
,2014 WE509,33.146,40.170,6.9,20141229,22.3,7.2,125.4,13.9,0.096,36.658,( 83d),MPO 386890,2014/11/26 F51 Pan-STARRS 1
,2014 WD509,41.534,45.717,5.6,20170216,315.2,262.1,201.6,1.3,0.048,43.626,3,MPO 384340,2014/11/18 F51 Pan-STARRS 1
,2014 WC509,30.702,49.351,6.9,20141209,12.7,130.9,304.7,9.1,0.233,40.026,( 67d),MPO 386890,2014/11/17 F51 Pan-STARRS 1
,2014 WB509,34.195,52.287,6.4,20170216,329.5,90.9,355.1,9.8,0.209,43.241,5,MPO 384339,2014/11/17 F51 Pan-STARRS 1
,2014 WA509,41.690,46.893,5.8,20170216,50.5,345.1,120.2,3.0,0.059,44.292,3,MPO 384339,2014/11/29 F51 Pan-STARRS 1
,2014 WT69,44.005,50.789,5.7,20170216,67.1,74.2,260.8,11.9,0.072,47.397,5,MPO 384334,2014/11/17 F51 Pan-STARRS 1
,2014 VW37,36.487,47.294,7.2,20170216,20.2,254.9,122.8,48.8,0.129,41.891,2,MPO 384333,2014/11/12 W84 DECam
,2014 VU37,38.678,42.568,4.8,20170216,204.0,336.9,248.2,28.7,0.048,40.623,5,MPO 384333,2014/11/12 F51 Pan-STARRS 1
,2014 VT37,29.444,50.466,9.0,20141209,18.6,175.6,197.7,33.5,0.263,39.955,( 60d),MPO 346322,2014/11/12 W84 Dark Energy Survey
,2014 UC225,29.572,41.534,7.6,20170216,324.9,295.8,139.6,4.9,0.168,35.553,2,MPO 389129,2014/10/28 W84 DECam
,2014 UB225,35.058,49.519,6.2,20141030,103.5,154.3,104.9,3.5,0.171,42.288,( 21d),MPO 392452,2014/10/28 W84 DECam
,2014 UU224,30.617,48.225,6.8,20170216,355.6,266.3,167.3,15.3,0.223,39.421,3,MPO 384332,2014/10/26 F51 Pan-STARRS 1
,2014 UT224,35.228,60.221,6.4,20170216,7.6,329.6,81.8,3.9,0.262,47.724,5,MPO 384332,2014/10/25 F51 Pan-STARRS 1
,2014 US224,41.372,51.623,4.7,20170216,278.7,179.2,318.2,11.0,0.110,46.498,2,MPO 389128,2014/10/28 F51 Pan-STARRS 1
,2014 UQ224,41.954,46.702,5.3,20170216,195.1,220.6,16.8,2.0,0.054,44.328,4,MPO 384331,2014/10/26 F51 Pan-STARRS 1
,2014 UP224,37.180,44.260,5.7,20170216,271.8,350.0,178.9,18.4,0.087,40.720,4,MPO 384331,2014/10/26 F51 Pan-STARRS 1
,2014 UO224,37.462,46.719,5.6,20170216,329.4,226.4,253.2,7.3,0.110,42.090,4,MPO 384331,2014/10/25 F51 Pan-STARRS 1
,2014 UF224,39.372,51.104,7.5,20170216,264.6,332.2,174.4,27.2,0.130,45.238,3,MPO 369243,2014/10/26 W84 Dark Energy Survey
,2014 TE86,36.352,53.145,7.0,20170216,50.8,164.3,161.9,28.8,0.188,44.749,2,MPO 389128,2014/10/02 W84 DECam
,2014 TD86,42.801,43.364,5.1,20170216,148.4,274.9,52.9,1.7,0.007,43.083,5,MPO 384330,2014/10/01 F51 Pan-STARRS 1
,2014 TC86,41.284,47.088,5.5,20170216,24.6,24.5,65.4,1.3,0.066,44.186,4,MPO 384330,2014/10/01 F51 Pan-STARRS 1
,2014 TB86,37.534,53.125,6.4,20141010,355.9,328.8,50.2,19.1,0.172,45.330,( 54d),MPO 386889,2014/10/01 F51 Pan-STARRS 1
,2014 TA86,37.735,46.418,5.8,20170216,35.2,140.6,219.3,9.3,0.103,42.077,4,MPO 384329,2014/10/02 F51 Pan-STARRS 1
,2014 TZ85,32.606,54.894,4.6,20170216,150.2,334.7,337.1,14.9,0.255,43.750,2,MPO 384329,2014/10/01 F51 Pan-STARRS 1
,2014 TY85,32.562,49.168,6.3,20170216,1.2,9.7,42.4,19.2,0.203,40.865,5,MPO 384329,2014/10/03 F51 Pan-STARRS 1
,2014 TX85,36.279,44.580,6.6,20170216,350.7,218.7,201.5,21.9,0.103,40.429,4,MPO 384329,2014/10/02 F51 Pan-STARRS 1
,2014 TW85,42.137,43.397,5.7,20170216,67.8,232.8,106.5,0.9,0.015,42.767,4,MPO 384329,2014/10/02 F51 Pan-STARRS 1
,2014 TU85,33.641,63.653,8.4,20141010,340.9,306.1,120.8,16.4,0.308,48.647,( 17d),MPO 331358,2014/10/13 W84 Dark Energy Survey
,2014 TT85,37.413,43.327,8.1,20170216,32.5,265.8,98.2,17.8,0.073,40.370,3,MPO 364170,2014/10/02 W84 Dark Energy Survey
,2014 SN350,33.785,52.405,7.7,20170216,330.8,269.0,171.7,32.1,0.216,43.095,2,MPO 389127,2014/09/25 W84 DECam
,2014 SM350,34.755,55.178,7.4,20141010,159.3,30.4,149.1,35.8,0.227,44.967,( 60d),MPO 392452,2014/09/21 807
,2014 SL350,38.588,60.126,7.8,20141010,263.3,29.8,72.1,9.0,0.218,49.357,( 60d),MPO 392452,2014/09/21 807
,2014 SJ350,31.093,55.701,7.0,20141010,156.9,120.7,37.3,10.7,0.284,43.397,( 59d),MPO 392452,2014/09/21 807
,2014 SH350,36.317,51.690,7.6,20140920,251.0,33.6,67.2,10.4,0.175,44.004,( 36d),MPO 392452,2014/09/19 807
,2014 SF350,25.364,63.945,6.7,20141010,78.1,183.4,37.6,9.9,0.432,44.654,( 59d),MPO 392452,2014/09/22 807
,2014 SE350,38.952,58.169,6.7,20141010,43.3,146.1,137.1,24.3,0.198,48.560,( 59d),MPO 392452,2014/09/22 807
,2014 SB350,34.281,63.090,7.4,20141010,70.4,104.5,132.2,21.0,0.296,48.686,( 62d),MPO 392452,2014/09/19 807
,2014 SX349,33.731,61.686,6.7,20170216,111.0,170.9,31.3,12.1,0.293,47.708,2,MPO 389127,2014/09/19 807
,2014 ST349,38.144,55.525,7.2,20170216,135.5,127.7,76.7,13.7,0.186,46.835,2,MPO 389127,2014/09/18 807
,2014 SK349,28.027,50.501,7.5,20170216,8.1,315.8,59.9,9.4,0.286,39.264,4,MPO 384327,2014/09/19 F51 Pan-STARRS 1
,2014 SJ349,35.476,48.583,6.7,20141119,354.5,289.9,123.9,8.9,0.156,42.029,(121d),MPO 386889,2014/09/23 F51 Pan-STARRS 1
,2014 SH349,36.486,49.606,5.1,20170216,97.7,95.4,202.7,17.3,0.152,43.046,5,MPO 384327,2014/09/23 F51 Pan-STARRS 1
,2014 SZ348,36.298,60.733,8.0,20170216,16.9,225.1,158.6,47.7,0.252,48.516,2,MPO 364150,2014/09/20 W84 Dark Energy Survey
,2014 RQ63,31.657,46.684,6.9,20170216,339.7,337.9,117.6,9.7,0.192,39.170,5,MPO 384326,2014/09/04 F51 Pan-STARRS 1
,2014 QA442,35.035,51.018,5.2,20140920,337.3,286.1,109.5,27.4,0.186,43.026,(103d),MPO 386888,2014/08/16 F51 Pan-STARRS 1
,2014 QZ441,38.522,45.662,5.7,20170216,237.3,176.7,335.3,6.6,0.085,42.092,3,MPO 384325,2014/08/28 F51 Pan-STARRS 1
,2014 QY441,33.430,39.294,5.4,20170216,243.8,120.1,79.7,10.2,0.081,36.362,5,MPO 384324,2014/08/22 F51 Pan-STARRS 1
,2014 QX441,36.930,39.731,5.4,20170216,27.8,294.4,43.8,26.0,0.037,38.331,4,MPO 384324,2014/08/22 F51 Pan-STARRS 1
,2014 QW441,39.737,48.501,5.0,20170216,356.2,203.4,162.8,28.9,0.099,44.119,8,MPO 384324,2014/08/20 F51 Pan-STARRS 1
,2014 QU441,36.857,45.296,7.9,20170216,344.4,298.7,113.2,19.3,0.103,41.077,2,MPO 369227,2014/08/18 W84 Dark Energy Survey
