Designation (and name),Prov. Des.,q,Q,EMoid,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,"Discovery date, site and discoverer(s)"
,2016 CC136,0.825,0.992,0.00361,28.8,20170216,248.7,356.2,319.8,12.1,0.092,0.908,( 3d),MPO 365215,2016/02/08 G96 Mt. Lemmon Survey
,2016 CH30,0.766,1.099,0.00401,28.0,20170216,310.3,270.2,346.3,0.5,0.178,0.933,( 4d),MPO 365170,2016/02/03 F51 Pan-STARRS 1
,2016 CG18,0.892,1.074,0.00144,28.5,20170216,293.5,276.7,316.9,5.7,0.092,0.983,( 3d),MPO 365160,2016/02/03 703 Catalina Sky Survey
,2016 CE,0.608,1.093,0.00117,28.5,20170216,3.0,316.3,315.9,5.8,0.285,0.850,( 2d),MPO 365148,2016/02/03 703 Catalina Sky Survey
,2016 BV39,0.670,1.261,0.13753,21.8,20170216,126.9,36.0,333.4,21.8,0.306,0.966,( 62d),MPO 377904,2016/01/30 G45 LINEAR
,2016 BW14,0.719,1.064,0.04068,25.8,20170216,304.7,156.4,127.7,7.6,0.193,0.891,( 13d),MPO 365076,2016/01/28 G96 Mt. Lemmon Survey
,2016 BC14,0.711,1.028,0.00992,20.9,20170216,253.7,337.0,4.1,8.4,0.182,0.870,( 76d),MPO 380411,2016/01/23 C51 WISE
,2016 BU,0.627,1.003,0.01338,26.7,20170216,359.1,351.3,300.4,9.0,0.231,0.815,( 12d),MPO 365063,2016/01/18 G96 Mt. Lemmon Survey
,2016 AK193,0.634,1.107,0.03864,22.0,20170216,342.6,324.4,306.9,17.4,0.272,0.870,2,MPO 373599,2016/01/15 703 Catalina Sky Survey
,2016 AF193,0.619,1.129,0.00966,21.9,20170216,305.6,44.0,254.1,6.4,0.291,0.874,( 95d),MPO 386962,2016/01/14 F51 Pan-STARRS 1
,2016 AJ165,0.587,1.251,0.07222,25.4,20170216,346.3,317.0,291.3,22.5,0.361,0.919,( 5d),MPO 365034,2016/01/13 G96 Mt. Lemmon Survey
,2016 AU65,0.355,1.265,0.01853,22.9,20170216,56.6,338.1,295.7,3.7,0.562,0.810,( 34d),MPO 364964,2016/01/07 F51 Pan-STARRS 1
,2016 AE65,0.593,1.097,0.01152,24.7,20170216,283.8,31.0,281.5,3.3,0.299,0.845,( 7d),MPO 364963,2016/01/08 F51 Pan-STARRS 1
,2016 AG9,0.707,1.180,0.09160,23.4,20170216,203.9,37.2,282.0,15.5,0.250,0.944,( 30d),MPO 364929,2016/01/03 G96 Mt. Lemmon Survey
,2016 AU8,0.785,1.179,0.11911,19.9,20170216,149.7,21.6,303.1,9.2,0.200,0.982,3,MPEC 2017-A07,2016/01/02 703 Catalina Sky Survey
,2016 AF2,0.696,1.075,0.00657,27.9,20170216,244.9,275.9,46.8,0.6,0.214,0.885,( 12d),MPO 364919,2016/01/01 G96 Mt. Lemmon Survey
,2016 AE2,0.565,1.046,0.00832,26.4,20170216,60.8,286.9,329.7,0.7,0.299,0.805,( 2d),MPO 364919,2016/01/01 G96 Mt. Lemmon Survey
,2015 YU7,0.481,1.157,0.00616,21.3,20170216,310.9,44.2,254.1,7.2,0.413,0.819,( 44d),MPO 386959,2015/12/24 F51 Pan-STARRS 1
,2015 YE2,0.742,1.101,0.02965,25.2,20170216,229.2,46.6,268.1,12.2,0.195,0.922,( 18d),MPO 377899,2015/12/18 G96 Mt. Lemmon Survey
,2015 YT,0.705,1.191,0.00622,25.8,20170216,187.0,53.4,270.9,1.6,0.256,0.948,( 2d),MPO 358618,2015/12/17 G96 Mt. Lemmon Survey
,2015 YG,0.383,1.111,0.09313,23.2,20170216,101.0,355.2,268.0,14.6,0.487,0.747,( 57d),MPO 369302,2015/12/16 F51 Pan-STARRS 1
,2015 YA,0.718,1.274,0.00368,27.4,20170216,136.0,83.6,255.2,1.6,0.279,0.996,( 5d),MPO 369302,2015/12/16 703 Catalina Sky Survey
,2015 XY378,0.363,1.058,0.19633,19.7,20170216,189.3,265.6,1.3,13.9,0.489,0.710,2,MPEC 2016-Y21,2015/12/12 C51 WISE
,2015 XT378,0.719,1.155,0.00096,27.9,20170216,201.0,64.9,257.5,5.7,0.233,0.937,( 3d),MPO 358615,2015/12/13 F51 Pan-STARRS 1
,2015 XQ378,0.628,1.228,0.06148,24.2,20170216,6.7,322.7,256.7,9.7,0.324,0.928,( 21d),MPO 369302,2015/12/14 G96 Mt. Lemmon Survey
,2015 XN261,0.814,1.134,0.00582,26.2,20170216,347.3,274.7,278.6,2.3,0.164,0.974,( 12d),MPO 377898,2015/12/10 G96 Mt. Lemmon Survey
,2015 XG261,0.795,1.184,0.19492,23.1,20170216,243.7,187.3,77.2,65.7,0.196,0.989,( 15d),MPO 358592,2015/12/09 F51 Pan-STARRS 1
,2015 XF261,0.674,1.307,0.00233,25.0,20170216,165.4,100.8,210.0,0.8,0.319,0.991,2,MPEC 2016-Y40,2015/12/08 F51 Pan-STARRS 1
,2015 XN169,0.563,1.256,0.20604,22.2,20170216,336.1,352.6,253.6,17.9,0.381,0.909,( 29d),MPO 369293,2015/12/08 G96 Mt. Lemmon Survey
